Type	Shape	Chr	Start	End	color
Friends	circle	1	34351136	34351251	1f78b4
Friends	circle	1	43434674	43434794	1f78b4
Friends	circle	1	52211669	52211795	1f78b4
Friends	circle	1	73987778	73987897	1f78b4
Friends	circle	1	78333078	78333187	1f78b4
Friends	circle	1	78613436	78613541	1f78b4
Friends	circle	1	93726477	93726597	1f78b4
Friends	circle	2	11574973	11575080	1f78b4
Friends	circle	2	11619237	11619356	1f78b4
Friends	circle	2	20464861	20464960	1f78b4
Friends	circle	2	22415262	22415380	1f78b4
Friends	circle	2	31304681	31304789	1f78b4
Friends	circle	2	33364339	33364458	1f78b4
Friends	circle	2	59402818	59402929	1f78b4
Friends	circle	2	74048739	74048832	1f78b4
Friends	circle	2	76853551	76853638	1f78b4
Friends	circle	2	81576848	81576962	1f78b4
Friends	circle	3	12527593	12527712	1f78b4
Friends	circle	3	14411151	14411261	1f78b4
Friends	circle	3	25041501	25041621	1f78b4
Friends	circle	3	25368778	25368887	1f78b4
Friends	circle	3	33508478	33508594	1f78b4
Friends	circle	3	49479551	49479665	1f78b4
Friends	circle	3	50432215	50432334	1f78b4
Friends	circle	3	51703520	51703638	1f78b4
Friends	circle	4	40686927	40687047	1f78b4
Friends	circle	5	34838140	34838244	1f78b4
Friends	circle	5	54516504	54516612	1f78b4
Friends	circle	5	105286593	105286708	1f78b4
Friends	circle	6	4373195	4373314	1f78b4
Friends	circle	6	17829995	17830113	1f78b4
Friends	circle	6	41315235	41315342	1f78b4
Friends	circle	6	43493809	43493905	1f78b4
Friends	circle	6	82388635	82388755	1f78b4
Friends	circle	6	107003945	107004062	1f78b4
Friends	circle	7	73539693	73539806	1f78b4
Friends	circle	7	79121360	79121479	1f78b4
Friends	circle	7	82485149	82485263	1f78b4
Friends	circle	8	17649906	17650019	1f78b4
Friends	circle	8	20191964	20192080	1f78b4
Friends	circle	8	26050312	26050431	1f78b4
Friends	circle	8	28961929	28962040	1f78b4
Friends	circle	8	32233553	32233681	1f78b4
Friends	circle	8	36741120	36741227	1f78b4
Friends	circle	8	60530997	60531123	1f78b4
Friends	circle	9	1323836	1323953	1f78b4
Friends	circle	9	15210863	15210982	1f78b4
Friends	circle	9	67898743	67898861	1f78b4
Friends	circle	9	75555708	75555816	1f78b4
Friends	circle	10	190765	190883	1f78b4
Friends	circle	10	317948	318061	1f78b4
Friends	circle	10	13006690	13006788	1f78b4
Friends	circle	10	13809801	13809922	1f78b4
Friends	circle	10	14745400	14745490	1f78b4
Friends	circle	10	26838523	26838639	1f78b4
Friends	circle	10	29203327	29203442	1f78b4
Friends	circle	10	69891169	69891288	1f78b4
Friends	circle	10	79016812	79016923	1f78b4
Friends	circle	10	95260314	95260427	1f78b4
Friends	circle	11	2202687	2202822	1f78b4
Friends	circle	11	5994801	5994920	1f78b4
Friends	circle	11	13596226	13596333	1f78b4
Friends	circle	11	13885606	13885713	1f78b4
Friends	circle	11	14113107	14113227	1f78b4
Friends	circle	11	20979002	20979119	1f78b4
Friends	circle	11	68328172	68328294	1f78b4
Friends	circle	11	73587430	73587546	1f78b4
Friends	circle	11	94896841	94896946	1f78b4
Friends	circle	11	95847383	95847504	1f78b4
Friends	circle	12	13090352	13090470	1f78b4
Friends	circle	12	13485084	13485202	1f78b4
Friends	circle	12	26417823	26417933	1f78b4
Friends	circle	12	34249900	34250019	1f78b4
Friends	circle	12	36841534	36841651	1f78b4
Friends	circle	12	36843471	36843584	1f78b4
Friends	circle	12	43797820	43797938	1f78b4
Friends	circle	12	78796215	78796330	1f78b4
Friends	circle	12	107982172	107982289	1f78b4
Friends	circle	13	36270411	36270515	1f78b4
Friends	circle	13	37326988	37327107	1f78b4
Friends	circle	13	45023628	45023732	1f78b4
Friends	circle	13	48237028	48237137	1f78b4
Friends	circle	13	50285124	50285243	1f78b4
Friends	circle	13	57463484	57463599	1f78b4
Friends	circle	13	75036083	75036189	1f78b4
Friends	circle	13	93475735	93475851	1f78b4
Friends	circle	14	19952994	19953092	1f78b4
Friends	circle	14	21139752	21139859	1f78b4
Friends	circle	14	75140268	75140374	1f78b4
Friends	circle	14	76939972	76940090	1f78b4
Friends	circle	14	77713898	77714017	1f78b4
Friends	circle	14	106163721	106163836	1f78b4
Friends	circle	15	25108210	25108329	1f78b4
Friends	circle	15	39931402	39931519	1f78b4
Friends	circle	15	48061931	48062050	1f78b4
Friends	circle	15	53365596	53365697	1f78b4
Friends	circle	15	57653593	57653713	1f78b4
Friends	circle	15	58816259	58816377	1f78b4
Friends	circle	16	25947733	25947847	1f78b4
Friends	circle	16	33872926	33873078	1f78b4
Friends	circle	16	46041758	46041873	1f78b4
Friends	circle	16	49460866	49460987	1f78b4
Friends	circle	16	51928865	51928984	1f78b4
Friends	circle	16	58322759	58322866	1f78b4
Friends	circle	16	74452446	74452556	1f78b4
Friends	circle	16	82631023	82631139	1f78b4
Friends	circle	16	82853921	82854035	1f78b4
Friends	circle	17	6444987	6445095	1f78b4
Friends	circle	17	19841592	19841706	1f78b4
Friends	circle	17	34141580	34141699	1f78b4
Friends	circle	17	37127940	37128030	1f78b4
Friends	circle	17	40760521	40760646	1f78b4
Friends	circle	18	20004466	20004585	1f78b4
